language_name,Deutsch
=====
Global:
global_please_wait,Bitte warten
global_loading,Lädt
global_game,Spiel
global_login,Login
global_create_account,Create Account
global_male,Männlich
global_female,Weiblich
global_genderless,Geschlechtslos
global_style a,Stil A
global_style b,Stil B
global_yes,Ja
global_no,Nein
global_accept,Akzeptieren
global_cancel,Abbrechen
global_ok,OK
global_gamemode,Spiel-Modus
global_clear,Löschen
global_save,Speichern
global_apply,Anwenden
global_close,Schließen
global_back,Zurück
global_quit,Quit
global_on,Ein
global_off,Aus
global_enabled,Aktiviert
global_disabled,Deaktiviert
global_enable,Aktivieren
global_disable,Deaktivieren
global_player_name,Name
global_badges,Orden
global_play_time,Zeit
global_location,Ort
global_money,Geld
global_points,Punkte
global_IDNo.,ID
global_time,Zeit
global_name,Name
global_order,Reihenfolge
global_filter,Filter
global_reset,Reset
global_pokemon_type_normal,Normal
global_pokemon_type_fire,Feuer
global_pokemon_type_flying,Flug
global_pokemon_type_fighting,Kampf
global_pokemon_type_water,Wasser
global_pokemon_type_grass,Pflanze
global_pokemon_type_poison,Gift
global_pokemon_type_ground,Boden
global_pokemon_type_electric,Elektro
global_pokemon_type_psychic,Psycho
global_pokemon_type_rock,Gestein
global_pokemon_type_ice,Eis
global_pokemon_type_bug,Käfer
global_pokemon_type_dragon,Drache
global_pokemon_type_ghost,Geist
global_pokemon_type_dark,Unlicht
global_pokemon_type_steel,Stahl
global_pokemon_type_fairy,Fee
global_pokemon_type_blank,Blanko
global_pokemon_type_wind,Wind
global_pokemon_type_sound,Lärm
global_pokemon_type_gas,Gas
global_pokemon_type_wood,Holz
global_pokemon_type_abnormal,Abnormal
global_pokemon_type_neutral,Neutral
global_true,Wahr
global_false,Falsch
global_select,Tauschen
global_summary,Bericht
global_item,Item
global_use,Benutzen
global_give,Geben
global_take,Nehmen
global_toss,Wegwerfen
global_switch,Tauschen
global_learn,Learn
global_pokemon_move_fly,Fliegen
global_pokemon_move_rocksmash,Zertrümmerer
global_pokemon_move_ride,Reiten
global_pokemon_move_flash,Blitz
global_pokemon_move_cut,Zerschneider
global_pokemon_move_teleport,Teleport
global_pokemon_move_dig,Schaufler
global_pokemon_move_sweetscent,Lockduft
global_pokemon_move_milkdrink,Milchgetränk
global_pokemon_move_softboiled,Weichei
global_used,Benutzt
global_none,-

global_SLP,SLF
global_BRN,BRN
global_PSN,GIF
global_FRZ,GFR
global_PAR,PAR
---
Pokémon & Attack Properties:
property_HP,KP
property_PP,AP
property_Lv.,Lv.
property_No.,Nr.
property_Level,Level
property_MaxHP,Max KP
property_Attack,Angriff
property_Defense,Verteidigung
property_Special_Attack,Spezial Angriff
property_Sp_Attack,Sp. Angr.
property_Special_Defense,Spezial Verteidigung
property_Sp_Defense,Sp. Vert.
property_Speed,Initiative
property_Ability,Fähigkeit
property_Type,Typ
property_Nature,Wesen
property_DexNo.,Nr.
property_OT,OT
property_CatchMethod,Fangmethode
property_ExpPoints,Erfahrung
property_Category,Kategorie
property_Power,Stärke
property_Accuracy,Genauigkeit
---
Summary Screen:

summary_hint_ViewMoves,Attacken: [<system.button(movebackward)>]/[↓] Unten
summary_hint_ViewInfo,Bericht: [<system.button(moveforward)>]/[↑] Oben
summary_EVsIVs,EVs (weiß) / IVs (blau)
summary_ExpToNextLv,Noch nötig
summary_TheEggWatch,The Egg Watch
summary_EggHatch_LongTime,It looks like this Egg will take a long time to hatch.
summary_EggHatch_MediumTime,It's getting warmer and moves a little. It will hatch soon.
summary_EggHatch_ShortTime,There is strong movement noticeable. It will hatch soon!
---
Catch Method & Location:

CatchMethod_Empty,Somehow obtained at
CatchMethod_Caught,Caught at
CatchMethod_Obtained,Obtained at
CatchMethod_Appeared,Appeared at

CatchLocation_Empty,an unknown place
---
Keyboard Keys:

keyboard_key_Up,Hoch
keyboard_key_Down,Runter
keyboard_key_Left,Links
keyboard_key_Right,Rechts
keyboard_key_Enter,Enter
keyboard_key_Space,Leertaste
keyboard_key_Escape,Escape
keyboard_key_Back,Backspace_Rück
keyboard_key_Tab,Tabulator
keyboard_key_Home,Pos1
keyboard_key_End,Ende
keyboard_key_Delete,Entf
keyboard_key_PageUp,Bild ▲
keyboard_key_PageDown,Bild ▼
keyboard_key_LeftShift,Left Shift
keyboard_key_RightShift,Right Shift
---
FieldMoves:

fieldmove_cut_1,Dieser Busch sieht aus, als ob~man ihn zerschneiden könnte!
fieldmove_cut_2,*Do you want to use Cut?
fieldmove_cut_NothingToCut,There is nothing~to be Cut!
fieldmove_cut_used,used~Cut!

fieldmove_rocksmash_1,This rock looks like~it can be broken!
fieldmove_rocksmash_2,*Do you want to~use Rock Smash?
fieldmove_rocksmash_used,used~Rock Smash!

fieldmove_strength_1,A Pokémon may be able~to move this.
fieldmove_strength_2,*Do you want to use Strength?
fieldmove_strength_used,used~Strength!

fieldmove_surf_type0,Do you want to Surf?
fieldmove_surf_type1,The water looks still~and deep.~Do you want to Surf?
fieldmove_surf_type2,This lake is~calm and shallow.~Do you want to Surf?
fieldmove_surf_cannotwhilebicycle,You cannot Surf while riding~a Bicycle!
fieldmove_surf_cannotwhileride,You cannot Surf while riding~a Pokémon!
fieldmove_surf_used,used~Surf!

fieldmove_dive_down_1,The water seems to be~really deep at this point.
fieldmove_dive_down_2,*Do you want to~use Dive?
fieldmove_dive_up_type1,Light shines down from~the surface.*Do you want to~use Dive?
fieldmove_dive_up_type2,The boat's shadow is cast~upon the ocean floor.*Do you want to~use Dive?
fieldmove_dive_used,used~Dive!

fieldmove_headbutt_question,This tree could have~a Pokémon in it.*Do you want to~use Headbutt?
fieldmove_headbutt_used,used~Headbutt!

fieldmove_waterfall_used,used~Waterfall.

fieldmove_ride_cannot_walk,You cannot walk here!
fieldmove_ride_cannot_ride,You cannot Ride here!
fieldmove_ride_used,used~Ride!

fieldmove_flash_AreaLitUp,The area got lit up!
fieldmove_flash_AlreadyLitUp,The area is already~lit up!
fieldmove_flash_used,used~Flash!

fieldmove_milkdrink_softboiled_ChoosePokemon,Choose Pokémon to Heal
fieldmove_milkdrink_softboiled_CannotChoose_FullHP,[POKEMON] has full~HP already.
fieldmove_milkdrink_softboiled_CannotChoose_SamePokemon,[POKEMON] cannot~heal itself.

fieldmove_milkdrink_used,used~Milk Drink!*Some HP was shared~with [POKEMON]!
fieldmove_softboiled_used,used~Soft-Boiled!*Some HP was shared~with [POKEMON]!

fieldmove_sweetscent_CannotUse,Cannot use Sweet Scent here.
fieldmove_sweetscent_used,used~Sweet Scent!

fieldmove_dig_CannotUse,Cannot use Dig here.
fieldmove_dig_used,used~Dig!

fieldmove_teleport_CannotUse,Cannot use Teleport here.
fieldmove_teleport_used,used~Teleport!

fieldmove_fly_CannotUse,You cannot Fly~from here!
fieldmove_fly_used,used~Fly!
---
GameInteractions:
game_interaction_interact,Untersuchen
game_interaction_gamemenu,Start-Menü
game_interaction_pokegear,PokéCOM
game_interaction_pausemenu,Pause Menu
game_interaction_accept,Akzeptieren
game_interaction_enter,Enter
game_interaction_confirm,Confirm
game_interaction_back,Back
game_interaction_dismiss,Dismiss
game_interaction_go_back,Zurück
game_interaction_close,Close
game_interaction_edit,Edit
game_interaction_clear,Clear
game_interaction_delete,Delete
game_interaction_learn,Learn
game_interaction_notification,Nachrichten
game_notification_accept,Press [<system.button(special)>] to accept.
game_notification_dismiss,Press [<system.button(special)>] to dismiss.
---
PressStartScreen:
start_screen_press,Drücke
start_screen_tostart,zum Starten.
---
Main Menu:
main_menu_newgame_line1,Neues
main_menu_newgame_line2,Spiel
main_menu_options,Optionen
main_menu_gamejolt_ChangeToMale,Wechsle zu Männlich
main_menu_gamejolt_ChangeToFemale,Wechsle zu Weiblich
main_menu_gamejolt_ChangeToGenderless,Wechsle zu Geschlechtslos
main_menu_gamejolt_ResetSave,Speilstand zurücksetzen
main_menu_error_gamemode_profile,The required GameMode does not exist!
main_menu_error_gamemode_message,The required GameMode does not exist.~Reaquire the GameMode to play on this profile.
main_menu_error_gamejolt_1,Download failed. Press Accept to try again.
main_menu_error_gamejolt_2,If the problem persists, please try again later
main_menu_error_gamejolt_3,or contact us in our Discord server:
main_menu_error_gamejolt_4,http://www.discord.me/p3d
main_menu_error_filevalidation,File validation failed!~Redownload the game's files to solve this problem.
main_menu_options_language,Sprache
main_menu_options_audio,Audio
main_menu_options_controls,Steuerung
main_menu_options_contentpacks_line1,Zusätzliche
main_menu_options_contentpacks_line2,Inhalte

GameModeMenu:
gamemode_menu_select1,Wähle einen Spiel-Modus,
gamemode_menu_select2,mit dem du starten möchtest.
gamemode_menu_name,Bezeichnung
gamemode_menu_description,Beschreibung
gamemode_menu_version,Version
gamemode_menu_author,Entwickler
gamemode_menu_contentpath,ContentPath
gamemode_menu_create,Create
gamemode_menu_back,Back
gamemode_name_Kolben,Pokémon 3D
gamemode_desc_Kolben,The normal GameMode.
gamemode_name_Pokemon Brown 3D,Pokémon Brown 3D
gamemode_desc_Pokemon Brown 3D,A 3D recreation of Pokémon Brown, a modification of Pokémon Red maintained by RainbowDevs and originally created by Koolboyman.*Based on the work of Leahkim and Miragics, who made the first attempt at creating Pokémon Brown 3D.**For news and updates, see: rainbowdevs.com/brown-3d
---
JoinServerScreen:
join_server_screen_title,Trete einem Server bei:
join_server_screen_local_server_title,Lokales Spiel
join_server_screen_local_server_description,Einzel-Spieler: Spiele auf deinem lokalen Computer.
join_server_screen_button_join,Beitreten
join_server_screen_button_play,Starten
join_server_screen_button_refresh,Neu Laden
join_server_screen_button_new,Neu
join_server_screen_button_add,Hinzufügen
join_server_screen_button_edit,Bearbeiten
join_server_screen_button_remove,Entfernen
join_server_screen_tooltip_no_players,No players on the server.
join_server_screen_tooltip_player_list,Player List
join_server_screen_ping,Ping:
join_server_screen_server_unavailable,Cannot reach server.
join_server_screen_server_online,Server online.
join_server_screen_server_polling,Polling
join_server_screen_server_full,The server is full.
join_server_screen_version_mismatch,Version doesn't match the server's version.
join_server_screen_no_connection,(no connection)
---

Options Screen:
option_screen_title,Optionen

option_screen_game,Spiel
option_screen_game_textspeed,Textgeschwindigkeit
option_screen_game_difficulty,Schwierigkeit
option_screen_game_difficulty_easy,Normal
option_screen_game_difficulty_hard,Schwierig
option_screen_game_difficulty_superhard,Nuzlocke
option_screen_game_interfacescale,Anzeige skalieren
option_screen_game_interfacescale_automatic,Automatisch
option_screen_game_viewbobbing,Wippen beim Gehen

option_screen_graphics,Grafik
option_screen_graphics_fov,Sichtfeld/Blickwinkel
option_screen_graphics_renderdistance,Sichtweite
option_screen_graphics_renderdistance_tiny,Sehr nah
option_screen_graphics_renderdistance_short,Näher
option_screen_graphics_renderdistance_normal,Mittlere Entfernung
option_screen_graphics_renderdistance_far,Weiter
option_screen_graphics_renderdistance_extreme,Sehr weit
option_screen_graphics_offset_mapquality,Qualität angrenzender Orte
option_screen_graphics_offset_mapquality_off,Aus
option_screen_graphics_graphics,Grafikqualität
option_screen_graphics_graphics_fancy,Schön
option_screen_graphics_graphics_fast,Schnell
option_screen_graphics_multisampling,Multisampling

option_screen_battle,Kampf
option_screen_battle_3dmodels,3D-Modelle
option_screen_battle_animations,Animationen
option_screen_battle_battlestyle,Kampfstil
option_screen_battle_battlestyle_set,Fest
option_screen_battle_battlestyle_shift,Tausch

option_screen_controls,Controls
option_screen_controls_xboxgamepad,Xbox Controller
option_screen_controls_resetkeybindings,Tastenbelegung zurücks.
option_screen_controls_cameraspeed,Mausgeschwindigkeit
option_screen_controls_cameraspeed_slow,...Langsam...
option_screen_controls_cameraspeed_medium,Standard
option_screen_controls_cameraspeed_fast,Super schnell!
option_screen_controls_cameraspeed_fastest,LICHTGESCHWINDIGKEIT!
option_screen_controls_running,Running
option_screen_controls_running_hold,Hold
option_screen_controls_running_toggle,Toggle

option_screen_audio,Audio
option_screen_audio_volume_music,Musik Lautstärke
option_screen_audio_volume_sfx,Soundeffekte Lautstärke
option_screen_audio_muted,Lautlos

option_screen_contentpacks_up,Nach Oben
option_screen_contentpacks_down,Nach Unten
option_screen_contentpacks_information,Informationen
option_screen_contentpacks_songs,Songs
option_screen_contentpacks_sounds,Sounds
option_screen_contentpacks_textures,Textures
option_screen_contentpacks_name,Bezeichnung
option_screen_contentpacks_version,Version
option_screen_contentpacks_by,Von
option_screen_contentpacks_content,Content
option_screen_contentpacks_description,Beschreibung

option_screen_resetoptions,Zurücksetzen
option_screen_save_options,Optionen speichern
option_screen_close,Schließen
---
Pausescreen:
pause_menu_title,Pause Menü
pause_menu_back_to_game,Weiterspielen
pause_menu_disconnect,Verbindung trennen
pause_menu_quit_to_menu, Zurück zum Titelbildschirm
pause_menu_autosave_fail,Autosave kann nicht erstellt werden.
pause_menu_confirmation,Möchtest du ohne Speichern zum Titelbildschirm zurückkehren?
---
IngameMenu:
game_menu_pokedex,Pokédex
game_menu_party,Pokémon
game_menu_bag,Beutel
game_menu_trainer_card,<Player.Name>
game_menu_save,Speichern
game_menu_save_notpossible,Speichern ist im Moment nicht möglich.
game_menu_options,Optionen
game_menu_exit,Menü schließen
game_menu_end_contest,Wettbewerb beenden
---
InventoryScreen:
inventory_screen_title,Taschen
inventory_screen_ItemSubtitle_HM,Versteckte Maschine
inventory_screen_ItemSubtitle_TM,Technische Maschine
inventory_screen_ItemSubtitle_Standard_Suffix, Item
inventory_screen_ItemSubtitle_KeyItem,Basis-Item
inventory_screen_ItemSubtitle_PokeBall,Pokéball
inventory_screen_ItemSubtitle_Plant,Pflanze
inventory_screen_ItemSubtitle_BattleItem,Kampf-Item
inventory_screen_ItemNotUsableInBattle,This item can't~be used in Battle.
inventory_screen_TossConfirmation,Are you sure you want to toss~this item?
inventory_screen_TossAmount,Select the amount to toss.
inventory_screen_GiveItem_Give,<name> trägt jetzt <newitem>.
inventory_screen_GiveItem_Switch,Switched <name>'s <olditem> with the <newitem>.
inventory_screen_GiveItem_TakeMail,Gave <newitem> to <name> and took the Mail to the PC.
inventory_screen_CannotGiveToPokemon,<newitem> kann nicht zum Tragen gegeben werden.
inventory_screen_CannotGiveBugContest,Cannot give an item to~this Pokémon during a~Bug-Catching Contest.
inventory_screen_EggsCannotHold,Ein Ei kann keine Items tragen.
---
PartyScreen:
party_screen_Unable,Unable!
party_screen_Able,Able!
party_screen_FieldMove,Field Move
party_screen_ChoosePokemon,Wähle ein Pokémon
party_screen_CannotChoosePokemon,Cannot choose this~Pokémon.
---
NewGameScreen:
new_game_intro_1,Hello!~Sorry to keep~you waiting!*Welcome to the world~of Pokémon!*My name is Oak.~People call me~Pokémon Prof.*This world is inhabited~by creatures that~we call
new_game_intro_2,Pokémon.*People and Pokémon live~together by supporting~each other.~Some people play with~Pokémon,~some battle with them.*But we don't know~everything about~Pokémon yet.~There are still many~mysteries to solve.*That's why I study~Pokémon every day.*Now, what did you~say your name was?
new_game_intro_3,~are you ready?*Your very own~Pokémon story is about~to unfold.*You'll face fun~times and tough~challenges.~A world of dreams and~adventures with Pokémon~awaits!*Let's go!*I'll be seeing~you later!
new_game_intro_weird_name_1,Right! So your name is~
new_game_intro_weird_name_2,!*Hm that is a~weird name.
new_game_intro_known_name_1,Right! So your name is~
new_game_intro_known_name_2,!*Hm I am sure I~heard this name before.
new_game_intro_same_name_1,Hey we got the~same names.*My name is also~
new_game_intro_same_name_2,!
new_game_intro_name_1,Right! So your name is~
new_game_intro_name_2,!
new_game_select_skin,Wie siehst du aus?
---
MapScreen:
map_screen_cities,Städte
map_screen_routes,Routen
map_screen_places,Orte
map_screen_roaming,Wanderpokemon
map_screen_PokemonAtPlace,[NAME] at [PLACE]
map_screen_RegionSwitchHint,(Press the Shift Key/Shoulder Triggers to switch between regions.)
---
Trainer Card Screen:
trainer_screen_title,Trainerpass
trainer_screen_collected_badges,Gesammelte Orden
trainer_screen_badge, Orden
trainer_screen_empty_badge,???
---
Save Screen:
save_screen_question1,Would you like to
save_screen_question2,save the game?
save_screen_progress_validating,Validating data
save_screen_progress_saving,Saving, please wait
save_screen_fail_title,Saving failed!
save_screen_fail_message1,Press [<system.button(back1)>] to close this~screen and try to save again~in order to prevent data~corruption.~~~If the problem persists, the~GameJolt servers could be~down for maintenance right~now.
save_screen_fail_message2,Please try again later,~or contact us here:~~Discord Server:~www.discord.me/p3d~~Official News:~pokemon3d.net/blog
save_screen_success,Saved the game.
save_screen_press,Press
save_screen_to_continue,to continue.
---
Apricorn Screen:
apricorn_screen_apricorns,Aprikokos
apricorn_screen_producing,Ich verarbeite die Aprikokos gerade.~Komm doch später wieder.
apricorn_screen_backadvice,[<system.button(OpenMenu)>]: Zurück
apricorn_screen_choose_apricorns,Bitte wähle Aprikokos aus, um Pokébälle herzustellen:
apricorn_screen_ok,OK
apricorn_screen_clear,Leeren
apricorn_screen_all,Alle
apricorn_screen_take,Nehmen
apricorn_screen_ready,Ich habe die Pokébälle produziert. Hier ist das Ergebnis:
apricorn_screen_obtain,erhält
---
Donation screen:
donation_screen_donators,Spender
donation_screen_backadvice,[<system.button(OpenMenu)>]: Zurück
---
Rename Screen:
rename_screen_title_Question,Rename [NAME]?
rename_screen_title_EnterName,Enter name for [NAME]:
rename_screen_button_Rename,Rename
---
Shop Screen:
shop_screen_title_store,Store
shop_screen_title_BuyItems,Buy Items
shop_screen_title_BuyCategory,Buy [CATEGORY]
shop_screen_title_SellItems,Sell Items
shop_screen_title_SellCategory,Sell [CATEGORY]
shop_screen_button_buy,Buy
shop_screen_button_sell,Sell
shop_screen_button_exit,Exit
shop_screen_buy_NoItemsToBuy,There are no items to buy.
shop_screen_buy_InStock,In Stock:
shop_screen_sell_NoItemsToSell,You have no items to sell.
shop_screen_sell_confirmation,Do you want to sell~[AMOUNT] [ITEM]?
shop_screen_buysell_PricePerItem,Per Item:
shop_screen_buysell_PriceTotal,Total:
shop_screen_buysell_InInventory,In Inventory:
shop_screen_buysell_DescriptionHint,Press [<system.button(special)>] or Select to view the item's description.
shop_screen_buysell_CurrentBalance,Current Balance:
shop_screen_currency_BattlePoints,Battle Points
shop_screen_currency_Coins,Coins
shop_screen_currency_Pokédollars,$
shop_screen_currency_short_BattlePoints,BP
shop_screen_currency_short_Coins,C
shop_screen_currency_short_Pokédollars,$
---
Blackout Screen:
black_out_screen_line1,You have run out of Pokémon!
black_out_screen_line2,You will be brought
black_out_screen_line3,to the nearest safe place
black_out_screen_line4,to prevent further injury
black_out_screen_line5,to your Pokémon.
---
Credits Screen:
credits_continue,Drücken Sie [<system.button(enter1)>] um fortzufahren.
credits_title_Pokémon Brown (Rom Hack),Pokémon Brown (Rom Hack)
credits_title_Pokémon Brown 3D (GameMode),Pokémon Brown 3D (GameMode)
credits_title_Map Design,Map Design
credits_title_ActionScript,ActionScript
credits_title_Bug Testing,Bug Testing
credits_title_Special Thanks,Special Thanks
credits_title_THE END?,THE END?
credits_line_Thanks for playing!,Thanks for playing!
---
Voltorb Flip:
VoltorbFlip_LV.,LV.
VoltorbFlip_CurrentCoins_Line1,Coins found
VoltorbFlip_CurrentCoins_Line2,in this LV.
VoltorbFlip_TotalCoins_Line1,<Player.Name>'s
VoltorbFlip_TotalCoins_Line2,earned Coins

VoltorbFlip_MemoButton_Open_Line1,Open
VoltorbFlip_MemoButton_Open_Line2,Memos
VoltorbFlip_MemoButton_Close_Line1,Close
VoltorbFlip_MemoButton_Close_Line2,Memos

VoltorbFlip_QuitButton,Quit

VoltorbFlip_QuitQuestion_Question_1,If you quit now, you will~receive
VoltorbFlip_QuitQuestion_Question_2,Coin(s).*Will you quit?

VoltorbFlip_BeforeNewLevel_Main_Question_1,Play Voltorb Flip Lv.
VoltorbFlip_BeforeNewLevel_Main_Question_2,?
VoltorbFlip_BeforeNewLevel_Main_Answer_Play,Play
VoltorbFlip_BeforeNewLevel_Main_Answer_GameInfo,Game Info
VoltorbFlip_BeforeNewLevel_Main_Answer_Quit,Quit
VoltorbFlip_BeforeNewLevel_GameInfo_Question,Which set of info?
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_HowToPlay,How to Play
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_Hint,Hint!
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_AboutMemos,About Memos
VoltorbFlip_BeforeNewLevel_GameInfo_Back,Back

VoltorbFlip_GameWon_1,Game clear!~You've found all of the~hidden x2 and x3 cards.*<Player.Name> received~
VoltorbFlip_GameWon_2,Coin(s)!

VoltorbFlip_GameLost,Oh no! You get 0 Coins!

VoltorbFlip_MaxCoins,Your Coin Case can't fit~any more Coin(s)!

VoltorbFlip_NewLevel_Lower1,Dropped to Game Lv.
VoltorbFlip_NewLevel_Lower2,!
VoltorbFlip_NewLevel_Higher1,Advanced to Game Lv.
VoltorbFlip_NewLevel_Higher2,!
VoltorbFlip_NewLevel_Ready1,Ready to play Game Lv.
VoltorbFlip_NewLevel_Ready2,!

VoltorbFlip_QuitGame_1,<Player.Name> received~
VoltorbFlip_QuitGame_2,Coin(s)!

VoltorbFlip_AfterGame_Won1,You've won
VoltorbFlip_AfterGame_Won2,Coin(s)!
VoltorbFlip_AfterGame_Lost,Too bad, you didn't win~any Coins!*Better luck next time!

