language_name,Nederlands
=====
Global:
global_please_wait,Even geduld
global_loading,Laden
global_game,Spel
global_login,Log in
global_create_account,Creëer Account
global_male,Man
global_female,Vrouw
global_genderless,Genderloos
global_style a,Stijl A
global_style b,Stijl B
global_yes,Ja
global_no,Nee
global_accept,Bevestig
global_cancel,Annuleer
global_ok,OK
global_gamemode,Spelmodus
global_delete,Wis
global_clear,Wis
global_save,Sla op
globel_done,Klaar
global_apply,Pas toe
global_close,Sluit
global_back,Terug
global_quit,Verlaat
global_on,Aan
global_off,Uit
global_enabled,Actief
global_disabled,Niet actief
global_enable,Activeer
global_disable,Deactiveer
global_player_name,Spelernaam
global_badges,Badges
global_play_time,Speeltijd
global_location,Locatie
global_money,Geld
global_points,Punten
global_IDNo.,ID Nr.
global_time,Tijd
global_name,Naam
global_order,Volgorde
global_filter,Filter
global_reset,Herstel
global_pokemon_type_normal,Normaal
global_pokemon_type_fire,Vuur
global_pokemon_type_flying,Vlieg
global_pokemon_type_fighting,Vecht
global_pokemon_type_water,Water
global_pokemon_type_grass,Gras
global_pokemon_type_poison,Gif
global_pokemon_type_ground,Grond
global_pokemon_type_electric,Electrisch
global_pokemon_type_psychic,Psychisch
global_pokemon_type_rock,Rots
global_pokemon_type_ice,IJs
global_pokemon_type_bug,Insect
global_pokemon_type_dragon,Draak
global_pokemon_type_ghost,Geest
global_pokemon_type_dark,Duister
global_pokemon_type_steel,Staal
global_pokemon_type_fairy,Fee
global_pokemon_type_blank,Blanco
global_pokemon_type_sound,Geluid
global_pokemon_type_gas,Gas
global_pokemon_type_wood,Hout
global_pokemon_type_abnormal,Abnormaal
global_pokemon_type_neutral,Neutraal
global_true,Waar
global_false,Onwaar
global_select,Kies
global_summary,Overzicht
global_item,Voorwerp
global_use,Gebruik
global_give,Geef
global_take,Neem
global_toss,Gooi weg
global_switch,Verwissel
global_learn,Leer
global_pokemon_move_fly,Vlieg
global_pokemon_move_rocksmash,Steenknal
global_pokemon_move_ride,Rijd
global_pokemon_move_flash,Flits
global_pokemon_move_cut,Snijd
global_pokemon_move_teleport,Teleporteer
global_pokemon_move_dig,Graaf
global_pokemon_move_sweetscent,Zoete geur
global_pokemon_move_milkdrink,Melkdrank
global_pokemon_move_softboiled,Zachtgekookt
global_used,Gebruikt
global_none,Niets

global_SLP,In Slaap
global_BRN,Verbrand
global_PSN,Vergiftigd
global_FRZ,Bevroren
global_PAR,Verlamd
---
Pokémon & Attack Properties:

property_HP,LP
property_PP,KP
property_No.,Nr.
property_Lv.,Nv.
property_Level,Niveau
property_MaxHP,Max LP
property_Attack,Aanval
property_Defense,Weerstand
property_Special_Attack,Speciale Aanval
property_Sp_Attack,Sp. Aanval
property_Special_Defense,Speciale Weerstand
property_Sp_Defense,Sp. Weerstand
property_Speed,Snelheid
property_Ability,Vaardigheid
property_Type,Type
property_Nature,Karakter
property_DexNo.,Dex Nr.
property_OT,OT
property_CatchMethod,Vangmethode
property_ExpPoints,Ervaringspunten
property_Category,Categorie
property_Power,Kracht
property_Accuracy,Nauwkeurigheid
---
Summary Screen:

summary_hint_ViewMoves,Technieken: [<system.button(movebackward)>]/[↓] Omlaag
summary_hint_ViewInfo,Informatie: [<system.button(moveforward)>]/[↑] Omhoog
summary_EVsIVs,MWs (wit) / IWs (blauw)
summary_ExpToNextLv,Tot Nv. Hoger
summary_TheEggWatch,De Eierwacht
summary_EggHatch_LongTime,Het lijkt erop dat het lang zal duren voordat dit Ei uitkomt.
summary_EggHatch_MediumTime,Het wordt warmer en beweegt een beetje. Het zal binnenkort uitkomen.
summary_EggHatch_ShortTime,Er is een sterke beweging merkbaar. Het zal snel uitkomen!
---
Catch Method & Location:

CatchMethod_Empty,Zomaar ontvangen bij
CatchMethod_Caught,Gevangen bij
CatchMethod_Obtained,Ontvangen bij
CatchMethod_Appeared,Verschenen bij

CatchLocation_Empty,een onbekende plek
---
Keyboard Keys:

keyboard_key_Up,Omhoog
keyboard_key_Down,Omlaag
keyboard_key_Left,Links
keyboard_key_Right,Rechts
keyboard_key_Enter,Enter
keyboard_key_Space,Spatie
keyboard_key_Escape,Escape
keyboard_key_Back,Backspace
keyboard_key_Tab,Tab
keyboard_key_Home,Home
keyboard_key_End,End
keyboard_key_Delete,Delete
keyboard_key_PageUp,Page Up
keyboard_key_PageDown,Page Down
keyboard_key_LeftShift,L Shift
keyboard_key_RightShift,R Shift
---
FieldMoves:

fieldmove_cut_1,Zo te zien kan deze boom~omgehakt worden!
fieldmove_cut_2,*Wil je Snijd gebruiken?
fieldmove_cut_NothingToCut,Er is hier niets om te~Snijden!
fieldmove_cut_used,gebruikte~Snijd!

fieldmove_rocksmash_1,Deze steen ziet er~breekbaar uit!
fieldmove_rocksmash_2,*Wil je Steenknal gebruiken?
fieldmove_rocksmash_used,gebruikte~Steenknal!

fieldmove_strength_1,Een Pokémon kan dit vast~verplaatsen.
fieldmove_strength_2,*Wil je Kracht gebruiken?
fieldmove_strength_used,gebruikte~Kracht!

fieldmove_surf_type0,Wil je Surfen?
fieldmove_surf_type1,Het water ziet er rustig en~diep uit.~Wil je Surfen?
fieldmove_surf_type2,Dit meer is kalm en ondiep.~Wil je Surfen?
fieldmove_surf_cannotwhilebike,Je kunt niet Surfen terwijl~je op een Fiets rijdt!
fieldmove_surf_cannotwhileride,Je kunt niet Surfen terwijl~je op een Pokémon rijdt!
fieldmove_surf_used,gebruikte~Surf!

fieldmove_dive_down_1,Het water ziet er heel erg~diep uit op deze plek.
fieldmove_dive_down_2,*Wil je Duik gebruiken?
fieldmove_dive_up_type1,Licht schijnt naar beneden~vanaf het oppervlak.*Wil je Duik gebruiken?
fieldmove_dive_up_type2,De schaduw van de boot valt~op de oceaanvloer.*Wil je Duik gebruiken?
fieldmove_dive_used,gebruikte~Duik!

fieldmove_headbutt_question,Er zou een Pokémon in deze~boom kunnen zitten.*Wil je Kopstoot gebruiken?
fieldmove_headbutt_used,gebruikte~Kopstoot!

fieldmove_waterfall_used,gebruikte~Waterval.

fieldmove_ride_cannot_walk,Je kunt hier niet lopen!
fieldmove_ride_cannot_ride,Je kunt hier niet Rijden!
fieldmove_ride_used,gebruikte~Rijd!

fieldmove_flash_AreaLitUp,De omgeving werd verlicht!
fieldmove_flash_AlreadyLitUp,De omgeving is al verlicht!
fieldmove_flash_used,gebruikte~Flits!

fieldmove_milkdrink_softboiled_ChoosePokemon,Kies Pokémon om te Genezen
fieldmove_milkdrink_softboiled_CannotChoose_FullHP,[POKEMON] is al~volledig genezen.
fieldmove_milkdrink_softboiled_CannotChoose_SamePokemon,[POKEMON] kan zichzelf~niet genezen.

fieldmove_milkdrink_used,gebruikte~Melkdrank!*Een kleine hoeveelheid IP~werd gedeeld met [POKEMON]!
fieldmove_softboiled_used,gebruikte~Zachtgekookt!*Een kleine hoeveelheid IP~werd gedeeld met [POKEMON]!

fieldmove_sweetscent_CannotUse,Kan hier niet Zoete geur~gebruiken.
fieldmove_sweetscent_used,gebruikte~Zoete geur!

fieldmove_dig_CannotUse,Kan hier niet Graaf~gebruiken.
fieldmove_dig_used,gebruikte~Graaf!

fieldmove_teleport_CannotUse,Kan hier niet Teleporteer~gebruiken.
fieldmove_teleport_used,gebruikte~Teleporteer!

fieldmove_fly_CannotUse,Je kunt niet Vliegen~vanaf hier!
fieldmove_fly_used,gebruikte~Vlieg!
---
GameInteractions:
game_interaction_interact,Actie
game_interaction_gamemenu,Spelmenu
game_interaction_pokegear,Pokégear
game_interaction_pausemenu,Pauzemenu
game_interaction_accept,Accepteer
game_interaction_enter,Voer In
game_interaction_confirm,Bevestig
game_interaction_back,Terug
game_interaction_dismiss,Verlaat
game_interaction_go_back,Ga Terug
game_interaction_close,Sluit
game_interaction_edit,Bewerk
game_interaction_clear,Leegmaken
game_interaction_delete,Verwijderen
game_interaction_learn,Leer
game_interaction_notification,Notificatie
game_notification_accept,<system.button(special)> om te reageren.
game_notification_dismiss,<system.button(special)> om weg te halen.
---
PressStartScreen:
start_screen_press,Druk op
start_screen_tostart,om te beginnen.
---
Main Menu:
main_menu_newgame_line1,Nieuw
main_menu_newgame_line2,Spel
main_menu_options,Opties
main_menu_gamejolt_ChangeToMale,Verander naar man
main_menu_gamejolt_ChangeToFemale,Verander naar vrouw
main_menu_gamejolt_ChangeToGenderless,Verander naar genderneutraal
main_menu_gamejolt_ResetSave,Herstart opslagbestand
main_menu_error_gamemode_profile,De vereiste Spelmodus bestaat niet!
main_menu_error_gamemode_message,De vereiste Spelmodus bestaat niet.~Voeg de Spelmodus opnieuw toe om dit profiel te gebruiken.
main_menu_error_gamejolt_1,Download mislukt. Druk op "Bevestig" om opnieuw te proberen.
main_menu_error_gamejolt_2,Als het probleem zich nog steeds voordoet, probeer het dan later nog eens
main_menu_error_gamejolt_3,of neem contact op met ons via onze Discord server:
main_menu_error_gamejolt_4,http://www.discord.me/p3d
main_menu_error_filevalidation,Bestandvalidatie mislukt!~Download de spelbestanden opnieuw om dit probleem op te lossen.
main_menu_options_language,Taal
main_menu_options_audio,Geluid
main_menu_options_controls,Besturing
main_menu_options_contentpacks_line1,Inhouds-
main_menu_options_contentpacks_line2,pakketten

GameModeMenu:
gamemode_menu_select1,Selecteer een Spelmodus
gamemode_menu_select2,om een nieuw spel mee te beginnen.
gamemode_menu_name,Naam
gamemode_menu_description,Beschrijving
gamemode_menu_version,Versie
gamemode_menu_author,Auteur
gamemode_menu_contentpath,Inhoudspad
gamemode_menu_create,Creëer
gamemode_menu_back,Terug
gamemode_name_Kolben,Pokémon 3D
gamemode_desc_Kolben,De gebruikelijke SpelModus.
gamemode_name_Pokemon Brown 3D,Pokémon Bruin 3D
gamemode_desc_Pokemon Brown 3D,Een 3D-recreatie van Pokémon Brown (Bruin), een modificatie van Pokémon Red (Rood), onderhouden door RainbowDevs en oorspronkelijk gemaakt door Koolboyman.*Gebaseerd op het werk van Leahkim en Miragics, die de eerste poging hebben gedaan om Pokémon Brown (Bruin) 3D te maken.**Voor nieuws en updates, zie hier: rainbowdevs.com/brown-3d
---
JoinServerScreen:
join_server_screen_title,Verbind met een server:
join_server_screen_local_server_title,Lokaal
join_server_screen_local_server_description,Één-Speler: Speel op je lokale computer.
join_server_screen_button_join,Verbind
join_server_screen_button_play,Speel
join_server_screen_button_refresh,Ververs
join_server_screen_button_new,Nieuw
join_server_screen_button_add,Voeg toe
join_server_screen_button_edit,Bewerk
join_server_screen_button_remove,Verwijder
join_server_screen_tooltip_no_players,Geen spelers op de server.
join_server_screen_tooltip_player_list,Spelerlijst
join_server_screen_ping,Ping:
join_server_screen_server_unavailable,Server niet bereikbaar.
join_server_screen_server_online,Server beschikbaar.
join_server_screen_server_polling,Peilen
join_server_screen_server_full,De server is vol.
join_server_screen_version_mismatch,Versie komt niet overeen met die van de server.
join_server_screen_no_connection,(geen verbinding)
---
AddServerScreen:
add_server_screen_title,Voeg een server toe:
add_server_screen_name,Naam:
add_server_screen_address,Adres:
add_server_screen_hint_controller_edit,Druk op X om te bewerken.
add_server_screen_input_name_default,Pokémon 3D Server
add_server_screen_validation_empty_name,De servernaam kan niet leeg zijn.
add_server_screen_validation_empty_address,Het adres kan niet leeg zijn.
add_server_screen_validation_duplicate_server,Deze servernaam bestaat al in de lijst.
---
Options Screen:
option_screen_title,Opties

option_screen_game,Spel
option_screen_game_textspeed,Tekstsnelheid
option_screen_game_difficulty,Moeilijkheidsgraad
option_screen_game_difficulty_easy,Normaal
option_screen_game_difficulty_hard,Moeilijk
option_screen_game_difficulty_superhard,Nuzlocke
option_screen_game_interfacescale,Interface-schaal
option_screen_game_interfacescale_automatic,Automatisch
option_screen_game_viewbobbing,Loopbeweging

option_screen_graphics,Beeld
option_screen_graphics_fov,Gezichtsveld
option_screen_graphics_renderdistance,Renderafstand
option_screen_graphics_renderdistance_tiny,Heel Dichtbij
option_screen_graphics_renderdistance short,Dichtbij
option_screen_graphics_renderdistance_normal,Normaal
option_screen_graphics_renderdistance_far,Ver
option_screen_graphics_renderdistance_extreme,Extreem Ver
option_screen_graphics_offset_mapquality,Offset-Map Kwaliteit
option_screen_graphics_offset_mapquality_off,Uit
option_screen_graphics_graphics,Beeldkwaliteit
option_screen_graphics_graphics_fancy,Hoog
option_screen_graphics_graphics_fast,Laag
option_screen_graphics_multisampling,Multi Sampling

option_screen_battle,Gevecht
option_screen_battle_3dmodels,3D Modellen
option_screen_battle_animations,Animaties
option_screen_battle_battlestyle,Gevechtstijl
option_screen_battle_battlestyle_shift,Wissel
option_screen_battle_battlestyle_set,Vast

option_screen_controls,Besturing
option_screen_controls_xboxgamepad,Xbox Gamepad
option_screen_controls_resetkeybindings,Toetsen Herstellen
option_screen_controls_cameraspeed,Camerasnelheid
option_screen_controls_cameraspeed_slow,...Traag...
option_screen_controls_cameraspeed_medium,Standaard
option_screen_controls_cameraspeed_fast,Supersnel!
option_screen_controls_cameraspeed_fastest,LICHTSNELHEID!
option_screen_controls_running,Rennen
option_screen_controls_running_hold,Vasthouden
option_screen_controls_running_toggle,Schakelen

option_screen_audio,Geluid
option_screen_audio_volume_music,Muziekvolume
option_screen_audio_volume_sfx,Geluidenvolume
option_screen_audio_muted,Gedempt

option_screen_contentpacks_up,Plaats hoger
option_screen_contentpacks_down,Plaats lager
option_screen_contentpacks_information,Informatie
option_screen_contentpacks_songs,Muziek
option_screen_contentpacks_sounds,Geluiden
option_screen_contentpacks_textures,Texturen
option_screen_contentpacks_name,Naam
option_screen_contentpacks_version,Versie
option_screen_contentpacks_by,Van
option_screen_contentpacks_content,Inhoud
option_screen_contentpacks_description,Beschrijving

option_screen_resetoptions,Herstel Opties
option_screen_save_options,Sla Opties Op
option_screen_close,Sluit
---
Pausescreen:
pause_menu_title,Spelmenu
pause_menu_back_to_game,Terug naar spel
pause_menu_disconnect,Verbreek verbinding
pause_menu_quit_to_menu,Terug naar hoofdmenu
pause_menu_autosave_fail,Kan niet automatisch opslaan.
pause_menu_confirmation,Wil je het spel echt verlaten? Niet-opgeslagen gegevens zullen verloren gaan.
---
IngameMenu:
game_menu_pokedex,Pokédex
game_menu_party,Pokémon
game_menu_bag,Tas
game_menu_trainer_card,<Player.Name>
game_menu_save,Opslaan
game_menu_save_notpossible,Opslaan is momenteel niet~mogelijk.
game_menu_options,Opties
game_menu_exit,Menu Verlaten
game_menu_end_contest,Stop Wedstrijd
---
InventoryScreen:
inventory_screen_title,Inventaris
inventory_screen_ItemSubtitle_HM,Verborgen Machine
inventory_screen_ItemSubtitle_TM,Technische Machine
inventory_screen_ItemSubtitle_Standard_Suffix, Voorwerp
inventory_screen_ItemSubtitle_KeyItem,Belangrijk Voorwerp
inventory_screen_ItemSubtitle_PokeBall,PokéBal
inventory_screen_ItemSubtitle_Plant,Plant
inventory_screen_ItemSubtitle_BattleItem,Voorwerp voor Gevecht
inventory_screen_ItemNotUsableInBattle,Dit voorwerp kan niet tijdens~een gevecht gebruikt worden.
inventory_screen_TossConfirmation,Weet je zeker dat je dit~voorwerp wilt weggooien?
inventory_screen_TossAmount,Selecteer aantal om weg te~gooien.
inventory_screen_GiveItem_Give,Gaf <name> een <newitem>.
inventory_screen_GiveItem_Switch,Wisselde <name>'s <olditem> met een <newitem>.
inventory_screen_GiveItem_TakeMail,Gaf een <newitem> aan <name> en bracht de Brief naar de PC.
inventory_screen_CannotGiveToPokemon,<newitem> kan niet aan een Pokémon gegeven worden.
inventory_screen_CannotGiveBugContest,Kan geen voorwerp geven aan~deze Pokémon tijdens een~Insecten-Vangwedstrijd.
inventory_screen_EggsCannotHold,Eieren kunnen geen voorwerpen~vasthouden.
---
StorageSystemScreen:
storage_screen_box_DefaultName,OPSLAG [NUMBER]
storage_screen_box_BattleBoxName,GEVECHT OPSLAG

storage_screen_menu_box_WhatDoYouWant,Wat wil je doen?
storage_screen_menu_box_ChooseBox,Kies Opslag
storage_screen_menu_box_ChangeMode,Verander Modus
storage_screen_menu_box_Wallpaper,Achtergrond

storage_screen_menu_mode_ChooseModeToUse,Kies een modus om te gebruiken.
storage_screen_menu_mode_Withdraw,Haal Op
storage_screen_menu_mode_Deposit,Deponeer
storage_screen_menu_mode_SingleMove,Verplaats Enkele
storage_screen_menu_mode_EasyMove,Verplaats Simpel

storage_screen_menu_theme_PickTheme,Kies een thema.
storage_screen_menu_theme_Package1,Pakket 1
storage_screen_menu_theme_Package2,Pakket 2
storage_screen_menu_theme_Package3,Pakket 3
storage_screen_menu_theme_Package4,Pakket 4

storage_screen_menu_wallpaper_PickWallpaper,Kies een achtergrond.

storage_screen_menu_wallpaper_Forest,Bos
storage_screen_menu_wallpaper_City,Stad
storage_screen_menu_wallpaper_Desert,Woestijn
storage_screen_menu_wallpaper_Savanna,Savanne
storage_screen_menu_wallpaper_Cave,Grot
storage_screen_menu_wallpaper_River,Rivier

storage_screen_menu_wallpaper_Volcano,Vulkaan
storage_screen_menu_wallpaper_Snow,Sneeuw
storage_screen_menu_wallpaper_Beach,Strand
storage_screen_menu_wallpaper_Seafloor,Zeebodem
storage_screen_menu_wallpaper_Crag,Rots
storage_screen_menu_wallpaper_Steel,Staal

storage_screen_menu_wallpaper_Volcano2,Vulkaan 2
storage_screen_menu_wallpaper_City2,Stad 2
storage_screen_menu_wallpaper_Snow2,Sneeuw 2
storage_screen_menu_wallpaper_Desert2,Woestijn 2
storage_screen_menu_wallpaper_Savanna2,Savanne 2
storage_screen_menu_wallpaper_Steel2,Staal 2

storage_screen_menu_wallpaper_System,Systeem
storage_screen_menu_wallpaper_Simple,Simpel
storage_screen_menu_wallpaper_Checks,Zakelijk
storage_screen_menu_wallpaper_Seasons,Seizoenen
storage_screen_menu_wallpaper_Retro1,Retro 1
storage_screen_menu_wallpaper_Retro2,Retro 2

storage_screen_menu_pokemon_IsSelected,<name> is geselecteerd.
storage_screen_menu_pokemon_Withdraw,Haal Op
storage_screen_menu_pokemon_Deposit,Deponeer
storage_screen_menu_pokemon_Move,Verplaats
storage_screen_menu_pokemon_TakeItem,Neem Voorwerp
storage_screen_menu_pokemon_Release,Laat Vrij

storage_screen_pokemon_CannotRemoveLastPokemon,De laatste Pokémon kan niet uit het team worden verwijderd.
storage_screen_pokemon_PartyIsFull,Geen plek in het team.

storage_screen_pokemon_item_MailWasTaken,De Brief is aan het postvak op je PC toegevoegd.
storage_screen_pokemon_item_TakenItemFromPokemon,Nam een <item>~van <name>.

storage_screen_pokemon_release_Question,<name> vrijlaten?
storage_screen_pokemon_release_CannotReleaseEgg,Kan geen Ei vrijlaten.
storage_screen_pokemon_release_CannotReleaseLastPokemon,Kan de laatste Pokémon niet vrijlaten.
storage_screen_pokemon_release_Goodbye,Vaarwel, <name>!

storage_screen_pokemon_summary_Box,Opslag
storage_screen_pokemon_summary_Pokemon,Pokémon
storage_screen_pokemon_summary_Level,Niveau
storage_screen_pokemon_summary_Normal,Normaal
storage_screen_pokemon_summary_Shiny,Schitterend
storage_screen_pokemon_summary_Egg,Ei
storage_screen_pokemon_summary_DexNo,DEX NR.
storage_screen_pokemon_summary_LEVEL,NIVEAU
storage_screen_pokemon_summary_HP,LP
storage_screen_pokemon_summary_ATTACK,AANVAL
storage_screen_pokemon_summary_DEFENSE,WEERSTAND
storage_screen_pokemon_summary_SpATK,SP. AANVAL
storage_screen_pokemon_summary_SpDEF,SP. WEERSTAND
storage_screen_pokemon_summary_SPEED,SNELHEID
storage_screen_pokemon_summary_ITEM,VOORWERP

storage_screen_filter_Hint,Druk [<system.button(special)>] op het toetsenbord om te filteren.
storage_screen_filter_Title,Configureer de filters:
storage_screen_filter_Results,Resultaten:
storage_screen_filter_Filters,Filters:
storage_screen_filter_Pokemon,Pokémon
storage_screen_filter_Type1,Type 1
storage_screen_filter_Type2,Type 2
storage_screen_filter_Move,Techniek
storage_screen_filter_Ability,Vaardigheid
storage_screen_filter_Nature,Karakter
storage_screen_filter_Gender,Geslacht
storage_screen_filter_HeldItem,Vastgehouden Voorwerp
storage_screen_filter_HeldItem_Yes,Houdt iets vast
storage_screen_filter_HeldItem_No,Houdt niets vast
---
mail_screen_title,Postvak
mail_screen_give_mail_to,Geef Brief aan:
mail_screen_write_new_mail,Schrijf nieuwe Brief.
mail_screen_mail_header,Koptekst:
mail_screen_mail_text,Bericht:
mail_screen_mail_signature,Ondertekening:
mail_screen_mail_ot,Afzender:
mail_screen_mail_button_attach,Aanhechten
mail_screen_mail_button_send_to_pc,Naar PC
mail_screen_mail_send_to_pc_confirm,Deze Brief naar de PC sturen?
mail_screen_mail_delete_confirm,Deze Brief verwijderen?
mail_screen_mail_deleted_from_mailbox,De Brief is uit het postvak verwijderd.
mail_screen_mail_added_to_mailbox,De Brief is aan het postvak op je PC toegevoegd.
mail_screen_mail_missing_contents,Vul de Koptekst, het Bericht en de Ondertekening in.
mail_screen_mail_attached_mail,De Brief is aan [POKEMON] gegeven.
mail_screen_mail_taken_item_and_attached_mail,Wisselde [ITEM] van [POKEMON] om met de Brief.
---
PartyScreen:
party_screen_Unable,Onmogelijk!
party_screen_Able,Mogelijk!
party_screen_FieldMove,Veldtechniek
