#This file specifies the location based interactions with certain Pokémon groups.
#Data: map files|Pokemon IDs and Exclude IDs (start with !)|Daytime|Weather setting|Season setting|Type settings|Probability|Emoji|Message
#Valid emojis: "...", "!", ">:(", "?", "note", "<3", ":(", "ball", ":D", ":)", "bad", ";)", "AFK", "/:(", ":3", ":/"
#empty values are marked as "-1".
#Pokémon names are substituted (get it?) as "<name>".

{gyms\merson.dat|-1|-1|-1|-1|Grass,Electric|100|>:(|<system.token(FollowerInteraction_Gyms1)>}
{gyms\merson.dat|-1|-1|-1|-1|Grass,Electric|100|>:(|<system.token(FollowerInteraction_Gyms2)>}

{gyms\owsauri.dat|-1|-1|-1|-1|Fighting,Fire,Rock,Steel|100|>:(|<system.token(FollowerInteraction_Gyms1)>}
{gyms\owsauri.dat|-1|-1|-1|-1|Fighting,Fire,Rock,Steel|100|>:(|<system.token(FollowerInteraction_Gyms2)>}

{gyms\moraga.dat|-1|-1|-1|-1|Bug,Fire,Flying,Ice,Poison|100|>:(|<system.token(FollowerInteraction_Gyms1)>}
{gyms\moraga.dat|-1|-1|-1|-1|Bug,Fire,Flying,Ice,Poison|100|>:(|<system.token(FollowerInteraction_Gyms2)>}
{gyms\moraga.dat|114,465|-1|-1|-1|-1|100|:3|<system.token(FollowerInteraction_Gyms_Moraga)>}

{gyms\jaeru.dat|-1|-1|-1|-1|Ground|100|>:(|<system.token(FollowerInteraction_Gyms1)>}
{gyms\jaeru.dat|-1|-1|-1|-1|Ground|100|>:(|<system.token(FollowerInteraction_Gyms2)>}

{gyms\castro.dat|-1|-1|-1|-1|Fairy,Flying,Psychic|100|>:(|<system.token(FollowerInteraction_Gyms1)>}
{gyms\castro.dat|-1|-1|-1|-1|Fairy,Flying,Psychic|100|>:(|<system.token(FollowerInteraction_Gyms2)>}

{gyms\route57.dat|-1|-1|-1|-1|Fighting|100|>:(|<system.token(FollowerInteraction_Gyms1)>}
{gyms\route57.dat|-1|-1|-1|-1|Fighting|100|>:(|<system.token(FollowerInteraction_Gyms2)>}

{gyms\seashore.dat|-1|-1|-1|-1|Bug,Dark,Ghost|100|>:(|<system.token(FollowerInteraction_Gyms1)>}
{gyms\seashore.dat|-1|-1|-1|-1|Bug,Dark,Ghost|100|>:(|<system.token(FollowerInteraction_Gyms2)>}

{gyms\eagulou.dat|-1|-1|-1|-1|-1|100|>:(|<system.token(FollowerInteraction_Gyms1)>}
