[Gym Signs]
Textures\Cities\Castro|16,64,16,16|Textures\TranslationSigns_<System.Language>|0,0,16,16
Textures\Cities\Castro|32,64,16,16|Textures\TranslationSigns_<System.Language>|16,0,16,16

Textures\Cities\Eagulou|16,64,16,16|Textures\TranslationSigns_<System.Language>|0,16,16,16
Textures\Cities\Eagulou|32,64,16,16|Textures\TranslationSigns_<System.Language>|16,16,16,16

Textures\Cities\Jaeru|16,64,16,16|Textures\TranslationSigns_<System.Language>|0,32,16,16
Textures\Cities\Jaeru|32,64,16,16|Textures\TranslationSigns_<System.Language>|16,32,16,16

Textures\Cities\Johto|64,192,16,16|Textures\TranslationSigns_<System.Language>|0,48,16,16
Textures\Cities\Johto|80,192,16,16|Textures\TranslationSigns_<System.Language>|16,48,16,16
Textures\Cities\Johto|80,0,16,16|Textures\TranslationSigns_<System.Language>|32,48,16,16

Textures\Cities\Merson|16,64,16,16|Textures\TranslationSigns_<System.Language>|0,64,16,16
Textures\Cities\Merson|32,64,16,16|Textures\TranslationSigns_<System.Language>|16,64,16,16

Textures\Cities\Moraga|16,64,16,16|Textures\TranslationSigns_<System.Language>|0,80,16,16
Textures\Cities\Moraga|32,64,16,16|Textures\TranslationSigns_<System.Language>|16,80,16,16

Textures\Cities\Owsauri|16,64,16,16|Textures\TranslationSigns_<System.Language>|0,96,16,16
Textures\Cities\Owsauri|32,64,16,16|Textures\TranslationSigns_<System.Language>|16,96,16,16

Textures\Cities\Seashore|160,0,16,16|Textures\TranslationSigns_<System.Language>|0,112,16,16
Textures\Cities\Seashore|176,0,16,16|Textures\TranslationSigns_<System.Language>|16,112,16,16

[PokéCenter Signs]
Textures\Outside|64,97,16,11|Textures\TranslationSigns_<System.Language>|32,21,16,11
Textures\Cities\Johto|112,101,16,11|Textures\TranslationSigns_<System.Language>|32,85,16,11

[PokéMart Signs]
Textures\Outside|48,97,16,11|Textures\TranslationSigns_<System.Language>|32,5,16,11
Textures\Cities\Johto|96,101,16,11|Textures\TranslationSigns_<System.Language>|32,69,16,11

[Gate Signs]
Textures\GateSigns|64,14,31,14|Textures\TranslationSigns_<System.Language>|0,128,31,14
Textures\GateSigns|64,28,31,14|Textures\TranslationSigns_<System.Language>|0,142,31,14
Textures\GateSigns|64,42,31,14|Textures\TranslationSigns_<System.Language>|0,156,31,14
Textures\GateSigns|64,56,31,14|Textures\TranslationSigns_<System.Language>|0,170,31,14
Textures\GateSigns|0,42,31,14|Textures\TranslationSigns_<System.Language>|0,184,31,14
Textures\GateSigns|0,56,31,14|Textures\TranslationSigns_<System.Language>|0,198,31,14

[Owsauri Casino Sign]
Textures\Cities\Owsauri|96,3,16,11|Textures\TranslationSigns_<System.Language>|32,101,16,11

[League Sign]
Textures\Cities\League|96,480,32,32|Textures\TranslationSigns_<System.Language>|0,212,32,32
