Name|Mismagius
Number|429
ExperienceType|0
BaseExperience|173
Type1|Ghost
Type2|Sound
CatchRate|45
BaseFriendship|35
EggGroup1|Amorphous
EggGroup2|None
BaseEggSteps|6630
EggPokemon|200
IsGenderLess|0
CanBreed|1
Devolution|200
IsMale|50
Ability1|26
Ability2|Nothing
HiddenAbility|Nothing
EggMoves|174,194,286,262,417,466,103,425,285,180,389,472,244
Machines|92,38,190,63,85,87,94,247,1041,104,129,138,156,86,1001,1048,164,1050,1014,416,399,577
BaseHP|60
BaseAttack|60
BaseDefense|60
BaseSpAttack|105
BaseSpDefense|105
BaseSpeed|105
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Its cries sound like incantations to torment the foe. It appears where you least expect it.\Magical Pokémon\4.4\0.9\0,148,0
Scale|0.96
Move|1,109
Move|1,1017
Move|1,149
Move|1,101
Move|11,109
Move|16,1017
Move|21,60
Move|26,1001
Move|31,247
Move|36,101
Move|41,1014
Move|46,95
Move|51,399
TradeValue|55
EvolutionLine|200\0\0,429\2\0
