Name|Kadabra
Number|64
ExperienceType|2
BaseExperience|140
Type1|Psychic
Type2|
CatchRate|100
BaseFriendship|70
EggGroup1|HumanLike
EggGroup2|None
BaseEggSteps|5355
EggPokemon|63
IsGenderLess|0
CanBreed|1
Devolution|63
IsMale|75
Ability1|28
Ability2|39
HiddenAbility|98
EggMoves|502,112,227,7,470,385,8,282,379,375,285,94,9,113
Machines|223,1020,92,34,36,38,324,66,68,69,91,94,247,1041,104,115,1040,129,130,138,156,86,1001,1048,164,1050,7,8,9
BaseHP|40
BaseAttack|35
BaseDefense|30
BaseSpAttack|120
BaseSpDefense|70
BaseSpeed|105
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|2
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It possesses strong spiritual power. The more danger it faces, the stronger its psychic power.\Psi Pokémon\56.5\1.3\0,148,0
Scale|1.12
Move|1,100
Move|1,93
Move|1,1038
Move|1,134
Move|16,93
Move|16,134
Move|22,1038
Move|28,60
Move|34,1044
Move|40,94
Move|46,115
TradeValue|40
EvolutionCondition|65,item,gm1,itemuse
EvolutionCondition|65,trade,0,trade
EvolutionLine|63\-2\0,64\0\0,65\2\0
