Name|Oak
Number|15111
ExperienceType|1
BaseExperience|0
Type1|Normal
Type2|
CatchRate|255
BaseFriendship|10
EggGroup1|Water2
EggGroup2|Dragon
BaseEggSteps|15111
IsGenderLess|0
IsMale|100
Ability1|54
Ability2|Nothing
Machines|
BaseHP|20
BaseAttack|10
BaseDefense|55
BaseSpAttack|15
BaseSpDefense|20
BaseSpeed|80
FPHP|1
FPAttack|1
FPDefense|1
FPSpAttack|1
FPSpDefense|1
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|A Pokemon researcher who specalizes in behavior.\Professor Pokémon\10\0.9\0,148,0
Scale|1.00
Move|2,5
Move|2,1
Move|2,45
