Name|Lickitung
Number|108
ExperienceType|1
BaseExperience|77
Type1|Normal
Type2|Abnormal
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|None
BaseEggSteps|5355
EggPokemon|108
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|20
Ability2|12
HiddenAbility|13
EggMoves|562,187,34,174,359,222,330,214,265,173,428,133,164
Machines|223,14,1020,92,34,36,38,190,58,59,63,66,68,69,76,85,87,89,90,91,247,1041,104,1002,53,130,138,156,1001,157,164,1049,57,70,7,8,9,126,416
BaseHP|90
BaseAttack|55
BaseDefense|75
BaseSpAttack|60
BaseSpDefense|75
BaseSpeed|30
FPHP|2
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Its tongue has well-developed nerves that run to the very tip, so it can be deftly manipulated.\Licking Pokémon\65.5\1.2\0,148,0
Scale|1.08
Move|1,122
Move|1,1019
Move|5,1021
Move|9,35
Move|13,1038
Move|17,1005
Move|21,23
Move|25,111
Move|25,205
Move|29,1010
Move|33,21
Move|37,1016
Move|41,34
Move|45,37
Move|49,1011
TradeValue|60
EvolutionCondition|463,Level,33,Level
EvolutionLine|108\0\0,463\2\0
