Name|Gastly
Number|92
ExperienceType|2
BaseExperience|62
Type1|Ghost
Type2|Gas
CatchRate|190
BaseFriendship|70
EggGroup1|Amorphous
EggGroup2|None
BaseEggSteps|5355
EggPokemon|92
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|26
Ability2|Nothing
HiddenAbility|Nothing
EggMoves|310,499,50,7,288,114,8,195,149,513,184,123,9,153,261
Machines|92,202,85,87,94,247,1041,104,1002,188,138,156,1001,153,164,7,8,9,399
BaseHP|30
BaseAttack|35
BaseDefense|30
BaseSpAttack|100
BaseSpDefense|35
BaseSpeed|80
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|0
CanFly|1
CanSwim|0
Pokedex|With its gas-like body, it can sneak into any place it desires. However, it can be blown away by wind.\Gas Pokémon\0.1\1.3\0,148,0
Scale|1.12
Move|1,122
Move|1,109
Move|1,101
Move|3,1023
Move|10,1005
Move|17,1038
Move|24,247
Move|31,1006
Move|38,95
Move|38,138
Move|45,399
Move|52,1002
TradeValue|10
EvolutionCondition|93,Level,25,Level
EvolutionLine|92\-2\0,93\0\0,94\2\0
