Name|Murkrow
Number|198
ExperienceType|2
BaseExperience|81
Type1|Dark
Type2|Flying
CatchRate|30
BaseFriendship|35
EggGroup1|Flying
EggGroup2|None
BaseEggSteps|5355
EggPokemon|198
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|15
Ability2|105
HiddenAbility|158
EggMoves|372,413,109,65,297,185,260,119,195,375,355,103,143,18,17,98
Machines|1030,1026,92,36,38,63,211,94,247,1041,104,1002,1040,129,138,143,156,86,1001,164,19
BaseHP|60
BaseAttack|85
BaseDefense|42
BaseSpAttack|85
BaseSpDefense|42
BaseSpeed|91
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|Feared and loathed by many, it is believed to bring misfortune to all those who see it at night.\Darkness Pokémon\2.1\0.5\0,148,0
Scale|0.7
Move|1,64
Move|16,185
Move|21,17
Move|26,101
Move|31,1028
Move|36,400
Move|41,1026
Move|46,1032
Move|51,399
TradeValue|35
EvolutionCondition|430,item,136,item
EvolutionLine|198\0\0,430\2\0
