Name|Cyndaquil
Number|155
ExperienceType|2
BaseExperience|62
Type1|Fire
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|155
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|87.5
Ability1|66
Ability2|Nothing
HiddenAbility|18
EggMoves|343,306,38,24,326,481,394,193,154,336,267,98,179,37,66
Machines|92,34,36,38,66,68,91,1041,104,53,129,130,156,164,15,126
BaseHP|39
BaseAttack|52
BaseDefense|43
BaseSpAttack|60
BaseSpDefense|50
BaseSpeed|65
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|It is timid up in a ball. If attacked, it flares up its back for protection.\Fire Mouse Pokémon\7.9\0.5\0,148,0
Scale|0.7
Move|1,33
Move|1,1039
Move|6,1024
Move|9,52
Move|15,111
Move|15,205
Move|19,98
Move|24,172
Move|30,129
Move|36,53
Move|42,583
Move|48,38
Move|54,126
TradeValue|50
EvolutionCondition|156,Level,14,Level
EvolutionLine|155\-2\0,156\0\0,157\2\0
