Name|Entei
Number|244
ExperienceType|3
BaseExperience|261
Type1|Fire
Type2|
CatchRate|3
BaseFriendship|35
EggGroup1|None
EggGroup2|None
BaseEggSteps|20655
EggPokemon|244
IsGenderLess|1
CanBreed|0
Devolution|0
IsMale|0.0
Ability1|46
Ability2|Nothing
HiddenAbility|39
Machines|92,34,36,38,63,76,91,247,1041,104,115,1002,53,129,130,156,1001,1048,164,15,70,148
BaseHP|115
BaseAttack|115
BaseDefense|85
BaseSpAttack|90
BaseSpDefense|75
BaseSpeed|100
FPHP|1
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Volcanoes erupt when it barks. Unable to contain its sheer power, it races headlong around the land.\Volcano Pokémon\198\2.1\0,148,0
Scale|1.44
Move|1,44
Move|1,1039
Move|11,1015
Move|16,52
Move|21,23
Move|31,172
Move|41,242
Move|51,83
Move|61,245
Move|71,126
Move|81,1002
Move|91,221
TradeValue|85
