Name|Kangaskhan
Number|115
ExperienceType|1
BaseExperience|172
Type1|Normal
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|None
BaseEggSteps|5355
EggPokemon|115
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|0
Ability1|48
Ability2|113
HiddenAbility|39
EggMoves|509,68,306,50,38,283,116,264,193,359,23,376,219,164
Machines|223,1020,92,34,36,38,190,58,59,63,66,68,69,76,85,87,89,90,91,247,1041,104,1002,53,130,156,1001,157,164,1049,57,70,7,8,9,126,416
BaseHP|105
BaseAttack|95
BaseDefense|80
BaseSpAttack|40
BaseSpDefense|80
BaseSpeed|90
FPHP|2
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|If it is safe the belly pouch to play. The adult keeps a close eye on the youngster.\Parent Pokémon\80\2.2\0,148,0
Scale|1.48
Move|1,4
Move|1,39
Move|8,44
Move|16,1038
Move|24,99
Move|30,1017
Move|38,5
Move|44,1020
Move|50,200
TradeValue|85
