Name|Tauros
Number|128
ExperienceType|3
BaseExperience|172
Type1|Normal
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|128
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|100
Ability1|22
Ability2|83
HiddenAbility|125
Machines|92,32,34,36,38,58,59,63,76,85,87,89,90,91,1041,104,224,53,130,156,157,164,57,70,126,416
BaseHP|75
BaseAttack|100
BaseDefense|95
BaseSpAttack|40
BaseSpDefense|70
BaseSpeed|110
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|They fight each other by locking horns. The herd's protector takes pride in its battle-scarred horns.\Wild Bull Pokémon\88.4\1.4\0,148,0
Scale|1.16
Move|1,33
Move|1,39
Move|3,99
Move|10,98
Move|17,23
Move|24,184
Move|31,442
Move|38,36
Move|45,200
Move|52,38
TradeValue|85
