Name|Togetic
Number|176
ExperienceType|0
BaseExperience|142
Type1|Fairy
Type2|Flying
CatchRate|75
BaseFriendship|70
EggGroup1|Flying
EggGroup2|Fairy
BaseEggSteps|2805
EggPokemon|175
IsGenderLess|0
CanBreed|1
Devolution|175
IsMale|87.5
Ability1|55
Ability2|32
HiddenAbility|105
EggMoves|326,193,248,381,119,234,417,64,217,375,290,500,244,164
Machines|223,1030,1026,1020,92,34,36,38,324,63,6,66,68,69,211,76,94,247,1041,104,115,1040,53,129,130,138,143,156,86,1001,1048,164,19,1050,1014,126,416,577
BaseHP|55
BaseAttack|40
BaseDefense|85
BaseSpAttack|80
BaseSpDefense|105
BaseSpeed|40
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|2
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|They say that it will appear before kindhearted, caring people and shower them with happiness.\Happiness Pokémon\3.2\0.6\0,148,0
Scale|0.84
Move|1,204
Move|1,1013
Move|1,1040
Move|1,584
Move|19,186
Move|26,577
Move|33,1048
Move|40,1026
Move|47,585
Move|54,38
Move|61,246
TradeValue|45
EvolutionCondition|468,item,135,item
EvolutionLine|175\-2\0,176\0\0,468\2\0
