Name|Tangela
Number|114
ExperienceType|1
BaseExperience|87
Type1|Grass
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Grass
EggGroup2|None
BaseEggSteps|5355
EggPokemon|114
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|34
Ability2|102
HiddenAbility|144
EggMoves|133,93,283,175,202,437,73,72,363,267,384,476,115
Machines|14,92,34,36,38,63,202,76,1041,104,115,188,130,1035,156,164,1049,1050,416
BaseHP|65
BaseAttack|55
BaseDefense|115
BaseSpAttack|100
BaseSpDefense|40
BaseSpeed|60
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|The vines that cloak its entire body are always jiggling. They effectively unnerve its foes.\Vine Pokémon\35\1\0,148,0
Scale|1
Move|1,132
Move|1,20
Move|5,71
Move|10,73
Move|15,77
Move|15,79
Move|15,78
Move|20,22
Move|25,20
Move|30,72
Move|35,235
Move|40,21
Move|45,74
Move|50,202
Move|55,246
TradeValue|35
EvolutionCondition|465,Level,55,Level
EvolutionLine|114\0\0,465\2\0
