Name|Rampardos
Number|409
ExperienceType|1
BaseExperience|173
Type1|Rock
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|None
BaseEggSteps|7905
EggPokemon|408
Devolution|408
IsGenderLess|0
IsMale|87.5
Ability1|104
Ability2|Nothing
HiddenAbility|125
Machines|14,92,32,36,38,58,59,63,66,68,225,85,87,89,90,91,1041,104,115,1002,224,53,129,130,156,1001,157,164,1049,57,70,7,9,126,416
BaseHP|97
BaseAttack|165
BaseDefense|60
BaseSpAttack|65
BaseSpDefense|50
BaseSpeed|58
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Its skull withstands impacts of any magnitude. As a result, its brain never gets the chance to grow.\Head Butt Pokémon\102.5\1.6\0,148,0
Scale|1.24
Move|1,29
Move|1,1039
Move|32,242
Move|38,157
Move|44,1016
Move|50,442
Move|56,130
Move|62,246
Move|68,200
TradeValue|50
EvolutionLine|408\0\0,409\2\0
