Name|Phanpy
Number|231
ExperienceType|1
BaseExperience|66
Type1|Ground
Type2|
CatchRate|120
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|231
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|53
Ability2|Nothing
HiddenAbility|8
EggMoves|246,34,68,283,90,116,457,484,420,189,583,173,55
Machines|92,34,36,38,190,66,68,89,90,91,1041,104,130,1035,156,1001,157,164,70
BaseHP|90
BaseAttack|60
BaseDefense|60
BaseSpAttack|40
BaseSpDefense|40
BaseSpeed|40
FPHP|1
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It swings its long snout around playfully, but because it is so strong, that can be dangerous.\Long Nose Pokémon\33.5\0.5\0,148,0
Scale|0.7
Move|1,33
Move|1,1013
Move|7,189
Move|13,55
Move|16,184
Move|19,29
Move|22,111
Move|22,205
Move|25,36
Move|28,204
Move|32,442
Move|37,583
Move|43,1008
Move|49,38
TradeValue|15
EvolutionCondition|232,Level,25,Level
EvolutionLine|231\0\0,232\2\0
