Name|Nidorino
Number|33
ExperienceType|2
BaseExperience|128
Type1|Poison
Type2|
CatchRate|120
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Field
BaseEggSteps|5355
EggPokemon|32
IsGenderLess|0
IsMale|100
Ability1|38
Ability2|79
HiddenAbility|55
EggMoves|133,251,498,93,68,50,203,457,231,342,389,48,36,599
Machines|92,32,34,36,38,190,58,59,68,85,87,91,1041,104,115,188,130,156,164,1049,70
BaseHP|61
BaseAttack|72
BaseDefense|57
BaseSpAttack|55
BaseSpDefense|55
BaseSpeed|65
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It raises its big ears to check its surroundings. If it senses anything, it attacks immediately.\Poison Pin Pokémon\19.5\0.9\0,148,0
Scale|0.96
Move|1,1039
Move|1,1003
Move|1,30
Move|5,40
Move|9,30
Move|13,24
Move|18,116
Move|23,31
Move|28,398
Move|33,142
Move|38,130
Move|43,92
Move|48,32
Move|53,234
EvolutionCondition|34,item,8,item
TradeValue|25
EvolutionLine|32\-2\0,33\0\0,34\2\0
