Name|Meowth
Number|52
ExperienceType|1
BaseExperience|58
Type1|Normal
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|52
IsGenderLess|0
IsMale|50
Ability1|53
Ability2|101
HiddenAbility|127
Eggmoves|133,274,175,204,492,95,231,387,386,289,180,39,316,244
Machines|92,34,36,38,190,6,85,87,91,247,1041,104,129,130,1035,138,156,86,1001,164,1049,1050,206,1014
BaseHP|40
BaseAttack|45
BaseDefense|35
BaseSpAttack|40
BaseSpDefense|40
BaseSpeed|90
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|It is fascinated by round objects. It can't stop playing with them until it tires and falls asleep.\Scratch Cat Pokémon\4.2\0.4\0,148,0
Scale|0.7
Move|1,10
Move|1,1013
Move|12,44
Move|17,6
Move|22,1016
Move|27,400
Move|32,95
Move|37,154
Move|42,583
Move|47,163
Move|52,1011
Move|57,80
EvolutionCondition|53,Level,28,Level
TradeValue|15
EvolutionLine|52\0\0,53\2\0
