Name|Spearow
Number|21
ExperienceType|1
BaseExperience|52
Type1|Normal
Type2|Flying
CatchRate|255
BaseFriendship|70
EggGroup1|Flying
EggGroup2|None
BaseEggSteps|4080
EggPokemon|21
IsGenderLess|0
IsMale|50
Ability1|51
Ability2|Nothing
HiddenAbility|97
EggMoves|310,297,185,98,13,184,143,161,253,18,211,1052
Machines|1030,1026,92,36,38,211,1041,104,129,143,156,1001,1048,164,19,1052
BaseHP|40
BaseAttack|60
BaseDefense|30
BaseSpAttack|31
BaseSpDefense|31
BaseSpeed|70
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|It flaps its short wings to flush out insects from tall grass. It then plucks them with its stubby beak.\Tiny Bird Pokémon\2\0.3\0,148,0
Scale|0.7
Move|1,64
Move|1,1013
Move|5,1003
Move|10,1039
Move|15,31
Move|20,116
Move|25,185
Move|30,1043
Move|35,65
Move|40,97
Move|45,1030
Move|50,143
EvolutionCondition|22,Level,20,Level
TradeValue|10
EvolutionLine|21\0\0,22\2\0
