Name|Koffing
Number|109
ExperienceType|1
BaseExperience|68
Type1|Poison
Type2|Gas
CatchRate|190
BaseFriendship|70
EggGroup1|Amorphous
EggGroup2|None
BaseEggSteps|5355
EggPokemon|109
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|26
Ability2|256
HiddenAbility|1
EggMoves|174,194,288,220,60,149,103,180,255,254,256,390,261
Machines|92,36,190,85,87,247,1041,104,1002,188,53,156,153,164,1050,9,126,399
BaseHP|40
BaseAttack|65
BaseDefense|95
BaseSpAttack|60
BaseSpDefense|45
BaseSpeed|35
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|1
CanSwim|0
Pokedex|Its thin with gases that cause constant sniffles, coughs and teary eyes.\Poison Gas Pokémon\1\0.6\0,148,0
Scale|0.84
Move|1,33
Move|1,1023
Move|10,1005
Move|15,1022
Move|20,124
Move|25,108
Move|30,1006
Move|35,120
Move|40,1028
Move|45,1002
Move|50,153
TradeValue|20
EvolutionCondition|110,Level,35,Level
EvolutionCondition|110,NotPlace,Haunted Forest,LevelUp
EvolutionCondition|110_galar,Level,30,LevelUp
EvolutionCondition|110_galar,Place,Haunted Forest,LevelUp
EvolutionLine|109\0\0,110\2\-2
EvolutionLine|109\0\0,110_galar\2\2
