Name|Mr. Mime
Number|122
ExperienceType|1
BaseExperience|161
Type1|Psychic
Type2|Fairy
CatchRate|45
BaseFriendship|70
EggGroup1|HumanLike
EggGroup2|None
BaseEggSteps|6630
EggPokemon|122
IsGenderLess|0
CanBreed|1
IsMale|50
Ability1|43
Ability2|111
HiddenAbility|101
EggMoves|204,109,252,248,361,95,196,478,102,417,471,298,271,358,244
Machines|223,1020,92,34,36,38,324,63,66,68,69,76,85,87,94,247,1041,104,115,1040,130,138,156,86,1001,164,148
BaseHP|40
BaseAttack|45
BaseDefense|65
BaseSpAttack|100
BaseSpDefense|120
BaseSpeed|90
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|2
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|A skilled mime from birth, it gains the ability to create invisible objects as it matures.\Barrier Pokémon\54.5\1.3\0,148,0
Scale|1.12
Move|1,1
Move|1,93
Move|1,112
Move|7,96
Move|11,1021
Move|15,149
Move|19,1005
Move|23,1041
Move|27,1010
Move|31,113
Move|31,115
Move|35,1020
Move|41,94
Move|45,1046
TradeValue|70
Item|5,2005
