Name|Primeape
Number|57
ExperienceType|1
BaseExperience|159
Type1|Fighting
Type2|
CatchRate|75
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|56
IsGenderLess|0
IsMale|50
Ability1|72
Ability2|83
HiddenAbility|128
EggMoves|251,370,68,227,264,265,193,96,400,179,279,79,157
Machines|223,1020,92,34,36,38,63,6,66,68,69,85,87,89,91,1041,104,1002,1040,129,130,1035,156,157,164,70,7,8,9,416
BaseHP|65
BaseAttack|105
BaseDefense|60
BaseSpAttack|60
BaseSpDefense|70
BaseSpeed|95
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|If approached while asleep it may awaken and angrily give chase in a groggy state of semi-sleep.\Pig Monkey Pokémon\32\1\0,148,0
Scale|1
Move|1,10
Move|1,1039
Move|1,189
Move|1,67
Move|3,189
Move|9,67
Move|15,96
Move|21,2
Move|27,154
Move|28,99
Move|28,889
Move|35,116
Move|43,1002
Move|51,37
Move|59,238
Move|67,200
TradeValue|30
EvolutionCondition|979,Status,fnt,LevelUp
EvolutionLine|56\-2\0,57\0\0,979\2\0
