Name|Electabuzz
Number|125
ExperienceType|1
BaseExperience|172
Type1|Electric
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|HumanLike
EggGroup2|None
BaseEggSteps|6630
EggPokemon|125
IsGenderLess|0
CanBreed|1
IsMale|75
Ability1|9
Ability2|Nothing
HiddenAbility|72
EggMoves|112,238,223,364,7,264,359,8,2,96,27
Machines|223,1020,92,34,36,38,324,63,66,68,69,85,87,94,1041,104,115,1040,129,130,156,86,1001,164,70,1050,7,8,9,416
BaseHP|65
BaseAttack|83
BaseDefense|57
BaseSpAttack|95
BaseSpDefense|85
BaseSpeed|105
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|Electricity runs across the surface of its body. In darkness, its entire body glows a whitish-blue.\Electric Pokémon\30\1.1\0,148,0
Scale|1.04
Move|1,98
Move|1,1039
Move|7,84
Move|14,96
Move|21,209
Move|28,27
Move|35,1016
Move|42,9
Move|49,113
Move|54,87
TradeValue|70
EvolutionCondition|466,item,gm87,itemuse
EvolutionCondition|466,trade,0,trade
EvolutionLine|125\0\0,466\2\0
