Name|Tangrowth
Number|465
ExperienceType|1
BaseExperience|187
Type1|Grass
Type2|
CatchRate|30
BaseFriendship|70
EggGroup1|Grass
EggGroup2|None
BaseEggSteps|5355
EggPokemon|114
IsGenderLess|0
CanBreed|1
Devolution|114
IsMale|50
Ability1|34
Ability2|102
HiddenAbility|144
EggMoves|133,93,283,175,202,437,73,72,363,267,384,476,115
Machines|14,1020,92,34,36,38,63,68,69,202,76,89,90,1041,104,115,188,130,1035,156,157,164,1049,70,416
BaseHP|100
BaseAttack|100
BaseDefense|125
BaseSpAttack|110
BaseSpDefense|50
BaseSpeed|50
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|When it remains still, it appears to be a large shrub. Unsuspecting prey that wander near get ensnared by its vines.\Vine Pokémon\128.6\2\0,148,0
Scale|1.4
Move|1,22
Move|1,246
Move|1,202
Move|1,79
Move|5,71
Move|10,73
Move|15,77
Move|15,79
Move|15,78
Move|20,22
Move|25,20
Move|30,72
Move|35,235
Move|40,21
Move|45,74
Move|50,202
Move|55,246
TradeValue|80
EvolutionLine|114\0\0,465\2\0
