Name|Dodrio
Number|85
ExperienceType|1
BaseExperience|161
Type1|Normal
Type2|Flying
CatchRate|45
BaseFriendship|70
EggGroup1|Flying
EggGroup2|None
BaseEggSteps|5355
EggPokemon|84
IsGenderLess|0
CanBreed|1
Devolution|84
IsMale|50
Ability1|50
Ability2|48
HiddenAbility|77
EggMoves|372,413,283,185,175,114,119,363,98,48
Machines|14,1026,92,34,36,38,63,211,1041,104,115,129,130,143,156,1001,1048,164,19
BaseHP|60
BaseAttack|110
BaseDefense|70
BaseSpAttack|60
BaseSpDefense|60
BaseSpeed|110
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It collects data and plans three times as wisely, but it may think too much and fall into a state of immobility.\Triple Bird Pokémon\85.2\1.8\0,148,0
Scale|1.32
Move|1,64
Move|1,1013
Move|1,31
Move|1,98
Move|1,1048
Move|4,99
Move|9,98
Move|13,1003
Move|17,31
Move|21,1001
Move|25,65
Move|29,1048
Move|34,97
Move|39,26
Move|44,37
Move|49,14
TradeValue|35
Item|5,77
EvolutionLine|84\0\0,85\2\0
