Name|Psyduck
Number|54
ExperienceType|1
BaseExperience|64
Type1|Water
Type2|Abnormal
CatchRate|190
BaseFriendship|70
EggGroup1|Water1
EggGroup2|None
BaseEggSteps|5355
EggPokemon|54
IsGenderLess|0
IsMale|50
Ability1|6
Ability2|13
HiddenAbility|33
EggMoves|499,109,238,227,193,248,95,426,60,287,290,493,485,281,214,113,58,94
Machines|223,1020,92,34,36,38,324,190,58,59,6,66,68,69,91,94,1041,104,1040,129,130,156,1001,1048,164,57,70,1050,8
BaseHP|50
BaseAttack|52
BaseDefense|48
BaseSpAttack|65
BaseSpDefense|50
BaseSpeed|55
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It has mystical powers but doesn't recall that it has used them. That is why it always looks puzzled.\Duck Pokémon\19.6\0.8\0,148,0
Scale|0.92
Move|1,10
Move|1,39
Move|5,145
Move|10,1038
Move|15,93
Move|20,55
Move|25,1010
Move|30,133
Move|35,238
Move|40,154
Move|45,95
Move|50,56
Move|55,80
EvolutionCondition|55,Level,33,Level
TradeValue|25
EvolutionLine|54\0\0,55\2\0
