Name|Pidgeot
Number|18
ExperienceType|2
BaseExperience|211
Type1|Normal
Type2|Flying
CatchRate|45
BaseFriendship|70
EggGroup1|Flying
EggGroup2|None
BaseEggSteps|4080
EggPokemon|16
IsGenderLess|0
IsMale|50
Ability1|51
Ability2|77
HiddenAbility|145
EggMoves|314,403,413,432,185,193,228,211,253
Machines|1030,1026,92,36,38,63,211,1041,104,115,129,143,156,1001,164,19,416
BaseHP|83
BaseAttack|80
BaseDefense|75
BaseSpAttack|70
BaseSpDefense|70
BaseSpeed|101
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|3
CanFly|0
CanSwim|0
Pokedex|Its well-developed chest muscles make it strong enough to whip up a gusty windstorm with just a few flaps.\Bird Pokémon\39.5\1.5\0,148,0
Scale|1.2
Move|1,1027
Move|1,98
Move|1,28
Move|9,17
Move|13,1031
Move|17,1032
Move|22,185
Move|27,1026
Move|32,19
Move|36,1030
Move|38,97
Move|44,211
Move|50,1043
Move|56,143
TradeValue|35
EvolutionLine|16\-2\0,17\0\0,18\2\0
