Name|Omastar
Number|139
ExperienceType|1
BaseExperience|173
Type1|Rock
Type2|Water
CatchRate|45
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Water3
BaseEggSteps|7905
EggPokemon|138
IsGenderLess|0
CanBreed|1
Devolution|138
IsMale|87.5
Ability1|33
Ability2|75
HiddenAbility|133
EggMoves|62,117,61,114,282,330,513,21,191,48,390,352,250,378,157
Machines|92,32,34,36,38,190,58,59,63,66,69,1041,104,115,130,156,157,164,57
BaseHP|70
BaseAttack|60
BaseDefense|125
BaseSpAttack|115
BaseSpDefense|70
BaseSpeed|55
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Apparently shell with its sharp fangs and sucked out the insides.\Spiral Pokémon\35\1\0,148,0
Scale|1
Move|1,55
Move|1,110
Move|1,30
Move|1,42
Move|17,132
Move|20,88
Move|23,30
Move|26,1039
Move|30,44
Move|34,131
Move|39,205
Move|46,157
Move|53,56
Move|59,246
TradeValue|75
EvolutionLine|138\0\0,139\2\0
