Name|Poliwag
Number|60
ExperienceType|2
BaseExperience|60
Type1|Water
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|water1
EggGroup2|None
BaseEggSteps|5355
EggPokemon|60
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|11
Ability2|6
HiddenAbility|33
EggMoves|61,227,283,203,114,301,170,54,341,287,150,352,346
Machines|92,34,36,38,190,58,59,91,94,1041,104,130,156,1001,164,57
BaseHP|40
BaseAttack|50
BaseDefense|40
BaseSpAttack|40
BaseSpDefense|40
BaseSpeed|90
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|Because it is inept at walking on its newly grown legs, it always swims around in water.\Tadpole Pokémon\12.4\0.6\0,148,0
Scale|0.84
Move|1,145
Move|7,74
Move|12,67
Move|16,95
Move|19,55
Move|25,1021
Move|31,34
Move|38,133
Move|45,56
TradeValue|10
EvolutionCondition|61,Level,25,Level
EvolutionLine|60\-2\0,61\0\0,62\2\-1
EvolutionLine|61\0\0,186\2\1
