Name|Cloyster
Number|91
ExperienceType|3
BaseExperience|184
Type1|Water
Type2|Ice
CatchRate|60
BaseFriendship|70
EggGroup1|Water3
EggGroup2|None
BaseEggSteps|5355
EggPokemon|90
IsGenderLess|0
CanBreed|1
Devolution|90
IsMale|50
Ability1|75
Ability2|92
HiddenAbility|142
EggMoves|333,350,36,41,392,419,112,61,341,229,103
Machines|92,34,36,38,324,190,58,59,63,1041,104,115,129,156,1001,153,1048,164,57,416
BaseHP|50
BaseAttack|95
BaseDefense|180
BaseSpAttack|85
BaseSpDefense|45
BaseSpeed|70
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|1
Pokedex|Once it slams its shell shut it is impossible to open, even by those with superior strength.\Bivalve Pokémon\132.5\1.5\0,148,0
Scale|1.2
Move|1,110
Move|1,1019
Move|1,128
Move|1,62
Move|1,131
Move|25,334
Move|50,42
TradeValue|35
Item|50,110
EvolutionLine|90\0\0,91\2\0
